version,bin_low,bin_high,count
gate_30,1.0,1.2012185605645507,2749
gate_30,1.2012185605645507,1.4429260302447713,0
gate_30,1.4429260302447713,1.7332695290517457,0
gate_30,1.7332695290517457,2.0820355287579346,2198
gate_30,2.0820355287579346,2.50097972089886,0
gate_30,2.50097972089886,3.00422326033926,1899
gate_30,3.00422326033926,3.608728740399268,0
gate_30,3.608728740399268,4.334871943010333,1831
gate_30,4.334871943010333,5.20712863561453,1442
gate_30,5.20712863561453,6.254899564347339,1420
gate_30,6.254899564347339,7.5135014511611455,1199
gate_30,7.5135014511611455,9.025357397963454,2160
gate_30,9.025357397963454,10.84142682216228,838
gate_30,10.84142682216228,13.022923121783686,2376
gate_30,13.022923121783686,15.643376966691806,1462
gate_30,15.643376966691806,18.79111476229818,1893
gate_30,18.79111476229818,22.5722358261711,2022
gate_30,22.5722358261711,27.114188627836832,1964
gate_30,27.114188627836832,32.57006663440587,1555
gate_30,32.57006663440587,39.12376856007252,2189
gate_30,39.12376856007252,46.996196953590946,1642
gate_30,46.996196953590946,56.45270405660064,1748
gate_30,56.45270405660064,67.81203590684639,1393
gate_30,67.81203590684639,81.45707616097366,1334
gate_30,81.45707616097366,97.84775177388177,1147
gate_30,97.84775177388177,117.53653554029972,1095
gate_30,117.53653554029972,141.187068035463,984
gate_30,141.187068035463,169.59652663588815,882
gate_30,169.59652663588815,203.72249560230907,790
gate_30,203.72249560230907,244.71524292202372,624
gate_30,244.71524292202372,293.9564918509977,519
gate_30,293.9564918509977,353.1059940098606,443
gate_30,353.1059940098606,424.1574738512396,311
gate_30,424.1574738512396,509.5058301922821,247
gate_30,509.5058301922821,612.0278599428195,182
gate_30,612.0278599428195,735.1792249459162,93
gate_30,735.1792249459162,883.1109303464955,62
gate_30,883.1109303464955,1060.8092405696386,25
gate_30,1060.8092405696386,1274.2637489906356,20
gate_30,1274.2637489906356,1530.6692663421193,16
gate_30,1530.6692663421193,1838.6683328158774,3
gate_30,1838.6683328158774,2208.6425281007105,2
gate_30,2208.6425281007105,2653.062398406786,2
gate_30,2653.062398406786,3186.907795302134,1
gate_30,3186.907795302134,3828.172794524776,0
gate_30,3828.172794524776,4598.472213831425,0
gate_30,4598.472213831425,5523.770173494668,0
gate_30,5523.770173494668,6635.255256694663,0
gate_30,6635.255256694663,7970.391768425132,0
gate_30,7970.391768425132,9574.182527203182,0
gate_30,9574.182527203182,11500.685753909278,0
gate_30,11500.685753909278,13814.83718681614,0
gate_30,13814.83718681614,16594.63883998091,0
gate_30,16594.63883998091,19933.788180450458,0
gate_30,19933.788180450458,23944.83634471935,0
gate_30,23944.83634471935,28762.981846957522,0
gate_30,28762.981846957522,34550.62765174662,0
gate_30,34550.62765174662,41502.855214432835,0
gate_30,41502.855214432835,49853.99999999997,0
gate_40,1.0,1.2012185605645507,2789
gate_40,1.2012185605645507,1.4429260302447713,0
gate_40,1.4429260302447713,1.7332695290517457,0
gate_40,1.7332695290517457,2.0820355287579346,2408
gate_40,2.0820355287579346,2.50097972089886,0
gate_40,2.50097972089886,3.00422326033926,2059
gate_40,3.00422326033926,3.608728740399268,0
gate_40,3.608728740399268,4.334871943010333,1798
gate_40,4.334871943010333,5.20712863561453,1550
gate_40,5.20712863561453,6.254899564347339,1441
gate_40,6.254899564347339,7.5135014511611455,1180
gate_40,7.5135014511611455,9.025357397963454,2120
gate_40,9.025357397963454,10.84142682216228,914
gate_40,10.84142682216228,13.022923121783686,2442
gate_40,13.022923121783686,15.643376966691806,1503
gate_40,15.643376966691806,18.79111476229818,1946
gate_40,18.79111476229818,22.5722358261711,2135
gate_40,22.5722358261711,27.114188627836832,1913
gate_40,27.114188627836832,32.57006663440587,1624
gate_40,32.57006663440587,39.12376856007252,1783
gate_40,39.12376856007252,46.996196953590946,1433
gate_40,46.996196953590946,56.45270405660064,1757
gate_40,56.45270405660064,67.81203590684639,1478
gate_40,67.81203590684639,81.45707616097366,1434
gate_40,81.45707616097366,97.84775177388177,1239
gate_40,97.84775177388177,117.53653554029972,1212
gate_40,117.53653554029972,141.187068035463,1014
gate_40,141.187068035463,169.59652663588815,935
gate_40,169.59652663588815,203.72249560230907,766
gate_40,203.72249560230907,244.71524292202372,652
gate_40,244.71524292202372,293.9564918509977,516
gate_40,293.9564918509977,353.1059940098606,436
gate_40,353.1059940098606,424.1574738512396,319
gate_40,424.1574738512396,509.5058301922821,221
gate_40,509.5058301922821,612.0278599428195,169
gate_40,612.0278599428195,735.1792249459162,99
gate_40,735.1792249459162,883.1109303464955,58
gate_40,883.1109303464955,1060.8092405696386,38
gate_40,1060.8092405696386,1274.2637489906356,24
gate_40,1274.2637489906356,1530.6692663421193,13
gate_40,1530.6692663421193,1838.6683328158774,9
gate_40,1838.6683328158774,2208.6425281007105,3
gate_40,2208.6425281007105,2653.062398406786,2
gate_40,2653.062398406786,3186.907795302134,0
gate_40,3186.907795302134,3828.172794524776,0
gate_40,3828.172794524776,4598.472213831425,0
gate_40,4598.472213831425,5523.770173494668,0
gate_40,5523.770173494668,6635.255256694663,0
gate_40,6635.255256694663,7970.391768425132,0
gate_40,7970.391768425132,9574.182527203182,0
gate_40,9574.182527203182,11500.685753909278,0
gate_40,11500.685753909278,13814.83718681614,0
gate_40,13814.83718681614,16594.63883998091,0
gate_40,16594.63883998091,19933.788180450458,0
gate_40,19933.788180450458,23944.83634471935,0
gate_40,23944.83634471935,28762.981846957522,0
gate_40,28762.981846957522,34550.62765174662,0
gate_40,34550.62765174662,41502.855214432835,0
gate_40,41502.855214432835,49853.99999999997,0
