version,n_users,retention_1_rate,retention_7_rate,retention_1_count,retention_7_count,gamerounds_mean,gamerounds_median
gate_30,44700,0.4481879194630872,0.19020134228187918,20034,8502,52.45626398210291,17.0
gate_40,45489,0.44228274967574577,0.18200004396667327,20119,8279,51.29877552814966,16.0
