retention_1_p30,retention_7_p30,retention_1_p40,retention_1_diff_pp,retention_7_p40,retention_7_diff_pp
44.7893749635783,18.982667606613017,44.41638118905425,-0.37299377452404414,18.01645342845255,-0.9662141781604683
44.59481316289327,19.08640417820209,44.329141781750955,-0.2656713811423128,18.219599282246506,-0.8668048959555863
45.07695578462624,19.292718949953098,43.952604022048,-1.1243517625782407,18.300714805394072,-0.9920041445590277
44.77975692819425,18.958665435859363,44.3240190033431,-0.4557379248511517,18.040748581915565,-0.9179168539437954
44.764111085424275,19.128909199684824,44.216402066105125,-0.5477090193191481,18.27494498541746,-0.8539642142673637
44.58142588025991,18.80080243533664,44.42101760798975,-0.16040827227016274,18.374598191794732,-0.42620424354190833
45.05292172796331,19.075727078839787,44.438210345289605,-0.614711382673705,18.273719180022475,-0.802007898817314
44.93533663745028,18.96052647711654,44.22596473196536,-0.7093719054849179,18.135329191251497,-0.8251972858650453
44.66587030117206,18.946787717829014,44.06213955336483,-0.6037307478072296,18.392696987834395,-0.5540907299946191
44.77393387853383,19.027387433209306,44.27629045364725,-0.49764342488658464,18.212444051399338,-0.8149433818099683
44.48390034815888,19.01918090836229,44.17109875043914,-0.3128015977197418,18.076898964075482,-0.9422819442868074
44.92265210311121,19.209121935415162,44.207882325112735,-0.7147697779984752,18.1135993829519,-1.09552255246326
45.19035490813062,18.889677708576208,43.9339442417064,-1.2564106664242236,18.094326891430367,-0.7953508171458429
44.97896003846011,19.02065962924451,44.44208996415168,-0.536870074308432,18.23622460192765,-0.7844350273168627
44.66792495426904,18.960384143778324,44.25259870474854,-0.4153262495204979,17.975834537825968,-0.9845496059523534
44.99618485886413,18.943519515510197,43.82911053892965,-1.1670743199344802,18.23893222155762,-0.7045872939525771
44.86745507533815,19.065069041151787,44.01081998406175,-0.8566350912763976,18.299692367302026,-0.7653766738497603
44.90941972488142,19.152704899499124,44.42806620131575,-0.4813535235656641,18.171302778649803,-0.9814021208493201
44.70746219581794,19.37344618354978,44.31736565987185,-0.3900965359460884,18.40133689281884,-0.9721092907309409
44.94627751696972,19.08276689504904,44.22342887158883,-0.7228486453808969,18.15056513638031,-0.9322017586687298
44.809012603606924,18.940012135411287,43.954026022991414,-0.8549865806155132,18.053033153135654,-0.8869789822756352
44.46432953289744,18.92965921654741,43.85862233467493,-0.6057071982225049,18.109092802329272,-0.8205664142181379
44.71827992708359,18.74854680460128,44.35688937732984,-0.3613905497537484,18.630174270236235,-0.1183725343650438
44.97769936429391,19.053337835616983,44.43433891504262,-0.5433604492512845,18.21593976937141,-0.8373980662455704
44.5000036023375,18.939358878991076,44.26872965089545,-0.23127395144205143,18.54555485241553,-0.39380402657554214
44.533952444731476,19.112850480732426,44.484027080175785,-0.049925364555691853,17.972607740959646,-1.1402427397727815
45.037293582268504,18.812524962013512,44.26638646416789,-0.7709071181006166,18.13838928645915,-0.6741356755543604
44.777472505463315,19.479421650938182,44.320213272641524,-0.4572592328217939,18.230020811056516,-1.2494008398816647
44.91350557073366,19.29773531625228,44.05859212219069,-0.8549134485429766,18.188171346461505,-1.1095639697907749
44.655276460096886,19.08444952856082,44.1880147844612,-0.4672616756356829,17.954043236493746,-1.1304062920670739
44.97956371943471,19.11562894762396,44.286925242881345,-0.6926384765533644,18.233887015086392,-0.8817419325375692
44.79853383682478,19.185799723063354,44.23820893867798,-0.5603248981468079,18.388278048027605,-0.7975216750357506
44.890950034371365,19.269717410024175,44.39354291595692,-0.4974071184144391,18.009517349623415,-1.2602000604007597
44.63038570203053,18.616127067686662,44.109381677886105,-0.5210040241444225,18.282168446437904,-0.3339586212487561
44.920918593277065,18.771380733438605,43.96952286063156,-0.9513957326455103,18.250773153561976,-0.5206075798766308
44.93279364429545,19.20808138272422,44.03442074812763,-0.8983728961678206,18.13949533955487,-1.0685860431693506
45.177524075267506,19.184755289607196,44.410914873448284,-0.7666092018192183,18.27979420466621,-0.9049610849409861
44.515528293533826,18.992006967693865,43.96832354798021,-0.5472047455536144,18.347817812758823,-0.6441891549350404
44.84604603618302,19.0689680373846,44.11310858559585,-0.7329374505871622,18.625381804498208,-0.4435862328863921
45.016805322045606,19.02209386741136,44.34869567142859,-0.6681096506170214,18.252083112725483,-0.7700107546858764
44.845845643983566,19.34502717041518,44.241910582496516,-0.6039350614870542,17.827068972483104,-1.5179581979320733
44.61797694677516,19.29953580354895,44.33363479260651,-0.2843421541686486,18.402212793038583,-0.8973230105103674
44.74923516490863,19.013927322238356,44.39808779891571,-0.35114736599292096,18.162155649911664,-0.8517716723266899
45.04267812260217,18.691969052624813,44.08860457297219,-0.9540735496299857,18.355726092131118,-0.3362429604936962
44.34301620804505,18.77360408625859,44.33731524076093,-0.0057009672841223935,18.45904679195767,-0.3145572943009184
44.87696613327987,19.06998700096999,44.44866273139732,-0.42830340188255156,18.307109878722493,-0.7628771222474989
44.738883007057524,19.072647966685004,43.861192040325385,-0.8776909667321364,18.470262487221714,-0.6023854794632882
44.021547515986946,19.040413446665035,43.836149251103116,-0.18539826488382927,18.265605641993712,-0.7748078046713208
